               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.037277,            0.029867,                   0,             0.64907,              0.6936,             0.69983,             0.34293,            0.038579,            0.021476,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.038248,            0.031712,                   0,             0.66445,             0.69318,              0.6853,             0.32534,            0.038239,            0.021728,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.041561,            0.030438,                   0,              0.6688,             0.68182,             0.70529,             0.31977,            0.040596,            0.022153,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.037743,            0.027622,                   0,             0.70865,             0.63636,             0.66213,             0.32476,            0.038602,            0.022112,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,             0.03735,            0.031277,                   0,             0.72514,             0.69318,             0.70816,             0.31584,            0.039771,             0.02214,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.037027,            0.030028,                   0,             0.67075,             0.67135,             0.66111,             0.30092,            0.037915,            0.022353,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.038894,            0.030267,                   0,             0.75818,             0.68182,             0.67988,             0.27064,            0.042873,            0.022818,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.038672,            0.029754,                   0,             0.65957,             0.64773,             0.65947,             0.29299,             0.03833,            0.022219,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.038353,            0.029328,                   0,             0.71033,             0.63636,             0.67376,             0.31194,            0.038839,            0.022593,                   0,            0.004951,            0.004951,            0.004951
                 104,             0.03869,            0.028508,                   0,             0.58382,             0.73864,             0.65087,             0.31077,            0.038195,            0.022433,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.040302,            0.030278,                   0,             0.60726,             0.71591,             0.67091,             0.27127,            0.038599,            0.023286,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.039877,            0.029638,                   0,             0.60425,             0.71591,             0.62719,             0.28947,             0.03821,            0.023149,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.035882,            0.031705,                   0,             0.65041,             0.67657,             0.65512,             0.28451,             0.03935,            0.023467,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.037421,            0.027053,                   0,             0.68754,             0.68182,             0.69855,             0.27807,            0.040389,            0.022981,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.037754,            0.033487,                   0,             0.66146,             0.66613,             0.66852,             0.30862,            0.038442,            0.022798,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.038893,            0.029519,                   0,             0.66592,             0.72484,             0.71679,              0.3209,             0.03985,            0.022334,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.035964,            0.029405,                   0,             0.75035,             0.64773,             0.72433,             0.36529,            0.038321,            0.022576,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.037525,            0.027167,                   0,             0.73672,             0.69961,             0.73258,             0.34811,            0.040068,            0.022773,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,             0.03958,            0.029992,                   0,             0.69179,               0.625,             0.70836,             0.35457,             0.03741,             0.02332,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.034549,             0.02835,                   0,             0.68772,             0.63636,             0.69505,             0.33133,            0.037944,            0.023623,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.037358,            0.030056,                   0,             0.59501,             0.67045,             0.66898,             0.32122,            0.036967,            0.023718,                   0,            0.004357,            0.004357,            0.004357
                 116,             0.03664,            0.029134,                   0,             0.55596,             0.68182,              0.6435,             0.28809,            0.037844,            0.024037,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.037627,            0.029027,                   0,             0.49648,             0.71591,             0.61737,             0.30267,            0.036675,            0.023952,                   0,            0.004258,            0.004258,            0.004258
                 118,             0.03745,            0.029705,                   0,             0.59494,             0.71591,              0.6801,             0.33498,            0.035301,            0.023095,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,             0.03627,            0.031081,                   0,             0.59239,             0.66062,             0.66815,             0.32209,            0.036127,             0.02356,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.035144,            0.029734,                   0,             0.67071,             0.59091,             0.66645,              0.3446,            0.035298,            0.022864,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.034937,            0.030445,                   0,             0.66151,               0.625,              0.6595,             0.33475,            0.035829,            0.022961,                   0,             0.00406,             0.00406,             0.00406
